rowno,ptno,ptnm,addr,orgnm,wmyr,wmod,wmwk,wmdep,londgr,lonmin,lonsec,latdgr,latmin,latsec,wmcymd,itemlvl,itemamnt,itemtemp,itemph,itemdoc,itembod,itemcod,itemss,itemtcoli,itemtn,itemtp,itemcd,itemcn,itempb,itemcr6,itemas,itemhg,itemcu,itemabs,itempcb,itemop,itemmn,itemtrans,itemcloa,itemcl,itemzn,itemcr,itemfe,itemphenol,itemnhex,itemec,itemtce,itempce,itemno3n,itemnh3n,itemecoli,itempop,itemdtn,itemdtp,itemfl,itemcol,itemccl4,itemdceth,itemdcm,itembenzene,itemchcl3,itemtoc,itemdehp,itemantimon,itemdiox,itemhcho,itemhcb,itemni,itemba,itemse,createdate
597,1007A43,양화천-2,경기도 여주시 능서면 백석리(율극교),한강유역환경청,2019,03,2회차,,127.00,34.00,30.00,37.00,19.00,52.00,2019.03.11,0.8600,1.4400,9.0000,7.2000,12.7000,2.7000,5.2000,4.2000,,5.5120,0.0760,,,,,,,,,,,,,,,,,,,,478.0000,,,,,,,,,,,,,,,,3.3000,,,,,,,,,
598,1007A43,양화천-2,경기도 여주시 능서면 백석리(율극교),한강유역환경청,2019,03,3회차,,127.00,34.00,30.00,37.00,19.00,52.00,2019.03.19,0.8600,1.4400,10.8000,7.7000,12.8000,3.1000,5.8000,4.6000,,5.3860,0.0800,,,,,,,,,,,,,,,,,,,,476.0000,,,,,,,,,,,,,,,,4.0000,,,,,,,,,
599,1007A43,양화천-2,경기도 여주시 능서면 백석리(율극교),한강유역환경청,2019,03,4회차,,127.00,34.00,30.00,37.00,19.00,52.00,2019.03.27,0.8600,1.4400,12.1000,7.6000,13.2000,2.5000,5.1000,1.0000,,5.6350,0.1090,,,,,,,,,,,,,,,,,,,,451.0000,,,,,,,,,,,,,,,,3.8000,,,,,,,,,
600,2008A20,쌍계천,경상북도 의성군 비안면 쌍계리 쌍계초교앞,경상북도 보건환경연구원,2019,01,1회차,,128.00,32.00,8.00,36.00,18.00,52.00,2019.01.08,,,2.2000,7.6000,18.2000,0.8000,3.3000,1.3000,110.0000,4.3490,0.0090,,,,,,,,,,,,,0.7000,,,,,,,299.0000,,,3.8210,0.2910,17.0000,0.0000,4.1660,0.0070,,,,,,,,2.1000,,,,,,,,,
601,2021A20,청도천-1,경상북도 청도군 청도읍 유호리 후심교,경상북도 보건환경연구원,2019,01,1회차,,128.00,46.00,24.00,35.00,34.00,23.00,2019.01.11,,,5.0000,8.1000,18.9000,1.6000,2.6000,0.6000,220.0000,3.6110,0.0110,,,,,,,,,,,,,2.1000,,,,,,,198.0000,,,3.1180,0.2050,2.0000,0.0030,3.4470,0.0090,,,,,,,,1.3000,,,,,,,,,
602,2101A40,기계천,경상북도 경주시 강동면 단구리 달성교,경상북도 보건환경연구원,2019,01,1회차,,129.00,14.00,25.00,36.00,2.00,56.00,2019.01.09,,,6.0000,7.6000,16.7000,0.6000,1.4000,0.4000,34.0000,3.5270,0.0120,,,,,,,,,,,,,1.5000,,,,,,,346.0000,,,3.3580,0.0110,2.0000,0.0060,3.4650,0.0120,,,,,,,,0.6000,,,,,,,,,
603,1007B10,팔당댐1,경기도 양평군 옥천면 아신리 다루레기나루터,한강물환경연구소,2019,01,53,4.0,127.00,25.00,47.00,37.00,30.00,28.00,2019.01.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604,1007B10,팔당댐1,경기도 양평군 옥천면 아신리 다루레기나루터,한강물환경연구소,2019,01,55,8.0,127.00,25.00,47.00,37.00,30.00,28.00,2019.01.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
605,1017B10,팔당댐2,경기도 남양주시 조안면 능내리 댐앞,한강물환경연구소,2019,01,34,17.0,127.00,17.00,7.00,37.00,31.00,16.00,2019.01.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606,1017B10,팔당댐2,경기도 남양주시 조안면 능내리 댐앞,한강물환경연구소,2019,01,35,20.0,127.00,17.00,7.00,37.00,31.00,16.00,2019.01.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
607,1017B10,팔당댐2,경기도 남양주시 조안면 능내리 댐앞,한강물환경연구소,2019,01,41,0.5,127.00,17.00,7.00,37.00,31.00,16.00,2019.01.21,,,3.2000,7.2000,13.6000,0.9000,3.2000,2.3000,330.0000,2.0850,0.0110,,,,,,,,,,,,,7.3000,,,,,,,130.0000,,,1.7350,0.0410,1.0000,0.0000,2.0090,0.0050,,,,,,,,1.8000,,,,,,,,,
608,1017B10,팔당댐2,경기도 남양주시 조안면 능내리 댐앞,한강물환경연구소,2019,01,42,4.0,127.00,17.00,7.00,37.00,31.00,16.00,2019.01.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609,1017B10,팔당댐2,경기도 남양주시 조안면 능내리 댐앞,한강물환경연구소,2019,01,43,10.5,127.00,17.00,7.00,37.00,31.00,16.00,2019.01.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610,1017B10,팔당댐2,경기도 남양주시 조안면 능내리 댐앞,한강물환경연구소,2019,01,44,17.0,127.00,17.00,7.00,37.00,31.00,16.00,2019.01.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611,1017B10,팔당댐2,경기도 남양주시 조안면 능내리 댐앞,한강물환경연구소,2019,01,45,20.0,127.00,17.00,7.00,37.00,31.00,16.00,2019.01.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
