rowno,ptno,ptnm,addr,orgnm,wmyr,wmod,wmwk,wmdep,londgr,lonmin,lonsec,latdgr,latmin,latsec,wmcymd,itemlvl,itemamnt,itemtemp,itemph,itemdoc,itembod,itemcod,itemss,itemtcoli,itemtn,itemtp,itemcd,itemcn,itempb,itemcr6,itemas,itemhg,itemcu,itemabs,itempcb,itemop,itemmn,itemtrans,itemcloa,itemcl,itemzn,itemcr,itemfe,itemphenol,itemnhex,itemec,itemtce,itempce,itemno3n,itemnh3n,itemecoli,itempop,itemdtn,itemdtp,itemfl,itemcol,itemccl4,itemdceth,itemdcm,itembenzene,itemchcl3,itemtoc,itemdehp,itemantimon,itemdiox,itemhcho,itemhcb,itemni,itemba,itemse,createdate
141,4003A06,월평천,전라북도 남원시 사내면 서도리 수촌교,영산강물환경연구소,2019,01,2회차,,127.00,19.00,28.00,35.00,29.00,30.00,2019.01.17,1.3200,0.1270,2.2000,7.2000,13.4000,3.0000,6.2000,2.9000,,3.7130,0.0810,,,,,,,,,,,,,,,,,,,,249.0000,,,,,,,,,,,,,,,,3.0000,,,,,,,,,
142,4003A06,월평천,전라북도 남원시 사내면 서도리 수촌교,영산강물환경연구소,2019,01,3회차,,127.00,19.00,28.00,35.00,29.00,30.00,2019.01.24,1.3300,0.1140,4.0000,7.7000,15.0000,2.1000,4.9000,3.2000,,3.5930,0.0520,,,,,,,,,,,,,,,,,,,,284.0000,,,,,,,,,,,,,,,,3.2000,,,,,,,,,
143,4003A08,후곡천,전라북도 임실군 삼계면 후천리 광제3교,영산강물환경연구소,2019,01,2회차,,127.00,16.00,31.00,35.00,28.00,15.00,2019.01.17,0.1800,0.2780,0.8000,7.7000,14.5000,0.5000,1.8000,0.5000,,1.9410,0.0220,,,,,,,,,,,,,,,,,,,,154.0000,,,,,,,,,,,,,,,,1.9000,,,,,,,,,
144,4003A08,후곡천,전라북도 임실군 삼계면 후천리 광제3교,영산강물환경연구소,2019,01,3회차,,127.00,16.00,31.00,35.00,28.00,15.00,2019.01.24,0.1800,0.2430,2.9000,8.0000,16.2000,0.8000,2.8000,0.7000,,1.7530,0.0070,,,,,,,,,,,,,,,,,,,,203.0000,,,,,,,,,,,,,,,,2.0000,,,,,,,,,
145,4002A25,치천,전라북도 순창군 구림면 안정리 미륵2교,영산강물환경연구소,2019,01,2회차,,127.00,7.00,58.00,35.00,28.00,57.00,2019.01.17,1.0200,0.3930,0.1000,7.6000,14.9000,0.5000,1.9000,0.5000,,2.2300,0.0100,,,,,,,,,,,,,,,,,,,,143.0000,,,,,,,,,,,,,,,,1.3000,,,,,,,,,
146,4002A25,치천,전라북도 순창군 구림면 안정리 미륵2교,영산강물환경연구소,2019,01,3회차,,127.00,7.00,58.00,35.00,28.00,57.00,2019.01.24,1.0100,0.2580,0.2000,7.5000,15.7000,0.6000,2.3000,0.5000,,2.3280,0.0010,,,,,,,,,,,,,,,,,,,,145.0000,,,,,,,,,,,,,,,,1.8000,,,,,,,,,
147,4004A05,수홍천,전라북도 남원시 대강면 풍산리 암거형수로,영산강물환경연구소,2019,01,2회차,,127.00,15.00,17.00,35.00,24.00,41.00,2019.01.17,1.1600,0.0260,2.2000,7.6000,13.5000,0.5000,1.8000,2.0000,,3.3940,0.0180,,,,,,,,,,,,,,,,,,,,269.0000,,,,,,,,,,,,,,,,1.4000,,,,,,,,,
148,4004A05,수홍천,전라북도 남원시 대강면 풍산리 암거형수로,영산강물환경연구소,2019,01,3회차,,127.00,15.00,17.00,35.00,24.00,41.00,2019.01.24,1.1600,0.0350,0.9000,7.2000,14.4000,0.5000,1.7000,0.5000,,3.0290,0.0080,,,,,,,,,,,,,,,,,,,,268.0000,,,,,,,,,,,,,,,,1.4000,,,,,,,,,
149,4004A13,옥택천,전라북도 순창군 유등면 유촌리 책암교,영산강물환경연구소,2019,01,2회차,,127.00,12.00,48.00,35.00,22.00,10.00,2019.01.17,1.2200,0.0370,1.2000,7.5000,13.3000,0.6000,2.2000,0.6000,,2.2230,0.0130,,,,,,,,,,,,,,,,,,,,281.0000,,,,,,,,,,,,,,,,1.6000,,,,,,,,,
150,4004A13,옥택천,전라북도 순창군 유등면 유촌리 책암교,영산강물환경연구소,2019,01,3회차,,127.00,12.00,48.00,35.00,22.00,10.00,2019.01.24,1.2200,0.0410,0.3000,6.8000,14.2000,0.6000,2.2000,0.5000,,2.1990,0.0020,,,,,,,,,,,,,,,,,,,,277.0000,,,,,,,,,,,,,,,,1.7000,,,,,,,,,
151,4007A05,보성강A,전라남도 보성군 보성읍 대야리 모령원교,영산강물환경연구소,2019,01,2회차,,127.00,1.00,13.00,34.00,45.00,33.00,2019.01.17,1.7200,0.3850,1.9000,8.0000,13.8000,0.6000,1.9000,1.1000,,1.6280,0.0190,,,,,,,,,,,,,,,,,,,,181.0000,,,,,,,,,,,,,,,,1.2000,,,,,,,,,
152,4007A05,보성강A,전라남도 보성군 보성읍 대야리 모령원교,영산강물환경연구소,2019,01,3회차,,127.00,1.00,13.00,34.00,45.00,33.00,2019.01.24,1.6900,0.3000,2.7000,7.6000,13.4000,0.5000,1.9000,1.1000,,1.6730,0.0100,,,,,,,,,,,,,,,,,,,,128.0000,,,,,,,,,,,,,,,,1.4000,,,,,,,,,
153,4007A20,동복천,전라남도 화순군 북면 맹리 맹리교,영산강물환경연구소,2019,01,2회차,,127.00,5.00,45.00,35.00,10.00,38.00,2019.01.17,1.3200,0.1110,4.6000,7.8000,15.2000,0.6000,2.0000,1.0000,,0.9810,0.0110,,,,,,,,,,,,,,,,,,,,169.0000,,,,,,,,,,,,,,,,1.4000,,,,,,,,,
154,4007A20,동복천,전라남도 화순군 북면 맹리 맹리교,영산강물환경연구소,2019,01,3회차,,127.00,5.00,45.00,35.00,10.00,38.00,2019.01.24,1.3200,0.0900,4.8000,7.8000,14.9000,0.6000,2.2000,0.6000,,0.9920,0.0050,,,,,,,,,,,,,,,,,,,,122.0000,,,,,,,,,,,,,,,,1.7000,,,,,,,,,
155,4007A25,남천,전라남도 화순군 이서면 창랑리 신기교,영산강물환경연구소,2019,01,2회차,,127.00,5.00,38.00,35.00,7.00,41.00,2019.01.17,1.3400,0.1540,5.0000,7.9000,15.4000,0.9000,2.8000,0.9000,,1.3540,0.0280,,,,,,,,,,,,,,,,,,,,181.0000,,,,,,,,,,,,,,,,1.7000,,,,,,,,,
156,4007A25,남천,전라남도 화순군 이서면 창랑리 신기교,영산강물환경연구소,2019,01,3회차,,127.00,5.00,38.00,35.00,7.00,41.00,2019.01.24,1.3400,0.1080,5.0000,7.8000,14.7000,0.9000,3.0000,1.1000,,1.3750,0.0210,,,,,,,,,,,,,,,,,,,,125.0000,,,,,,,,,,,,,,,,2.0000,,,,,,,,,
157,5101A05,탐진강,전라남도 장흥군 유치면 운월리 운월교,영산강물환경연구소,2019,01,2회차,,126.00,51.00,45.00,34.00,50.00,36.00,2019.01.16,1.6700,0.0170,0.9000,7.8000,17.3000,0.6000,1.9000,0.9000,,0.6000,0.0080,,,,,,,,,,,,,,,,,,,,159.0000,,,,,,,,,,,,,,,,1.3000,,,,,,,,,
158,5101A05,탐진강,전라남도 장흥군 유치면 운월리 운월교,영산강물환경연구소,2019,01,3회차,,126.00,51.00,45.00,34.00,50.00,36.00,2019.01.23,1.6700,0.0190,3.6000,7.8000,12.3000,0.5000,1.9000,0.3000,,0.5630,0.0010,,,,,,,,,,,,,,,,,,,,110.0000,,,,,,,,,,,,,,,,1.3000,,,,,,,,,
159,5101A05,탐진강,전라남도 장흥군 유치면 운월리 운월교,영산강물환경연구소,2019,01,4회차,,126.00,51.00,45.00,34.00,50.00,36.00,2019.01.30,1.6700,0.0250,1.4000,7.2000,14.4000,0.3000,1.7000,1.1000,,1.2220,0.0150,,,,,,,,,,,,,,,,,,,,114.0000,,,,,,,,,,,,,,,,1.3000,,,,,,,,,
160,5101A15,유치천-1,전라남도 영암군 금정면 연소리 한대교,영산강물환경연구소,2019,01,2회차,,126.00,47.00,54.00,34.00,48.00,13.00,2019.01.16,1.5800,0.0890,2.6000,7.7000,15.4000,0.7000,2.2000,0.7000,,1.2070,0.0160,,,,,,,,,,,,,,,,,,,,146.0000,,,,,,,,,,,,,,,,1.5000,,,,,,,,,
161,5101A15,유치천-1,전라남도 영암군 금정면 연소리 한대교,영산강물환경연구소,2019,01,3회차,,126.00,47.00,54.00,34.00,48.00,13.00,2019.01.23,1.5800,0.0620,2.7000,7.8000,13.8000,0.5000,2.1000,0.6000,,1.1300,0.0030,,,,,,,,,,,,,,,,,,,,90.0000,,,,,,,,,,,,,,,,1.4000,,,,,,,,,
162,5101A15,유치천-1,전라남도 영암군 금정면 연소리 한대교,영산강물환경연구소,2019,01,4회차,,126.00,47.00,54.00,34.00,48.00,13.00,2019.01.30,1.5700,0.0950,1.8000,7.4000,15.6000,0.3000,1.7000,1.0000,,1.1590,0.0130,,,,,,,,,,,,,,,,,,,,103.0000,,,,,,,,,,,,,,,,1.5000,,,,,,,,,
163,5101A25,옴천천-1,전라남도 강진군 옴천면 봉림리 봉림교,영산강물환경연구소,2019,01,2회차,,126.00,49.00,24.00,34.00,44.00,56.00,2019.01.16,1.4000,0.1200,3.8000,7.7000,14.7000,0.6000,2.0000,0.7000,,0.9350,0.0210,,,,,,,,,,,,,,,,,,,,174.0000,,,,,,,,,,,,,,,,1.5000,,,,,,,,,
164,5101A25,옴천천-1,전라남도 강진군 옴천면 봉림리 봉림교,영산강물환경연구소,2019,01,3회차,,126.00,49.00,24.00,34.00,44.00,56.00,2019.01.23,1.3600,0.0930,4.9000,7.8000,13.6000,0.5000,2.1000,0.5000,,0.9190,0.0050,,,,,,,,,,,,,,,,,,,,123.0000,,,,,,,,,,,,,,,,1.5000,,,,,,,,,
165,5101A25,옴천천-1,전라남도 강진군 옴천면 봉림리 봉림교,영산강물환경연구소,2019,01,4회차,,126.00,49.00,24.00,34.00,44.00,56.00,2019.01.30,1.3600,0.0900,3.8000,7.2000,14.2000,0.5000,1.7000,0.6000,,0.9270,0.0150,,,,,,,,,,,,,,,,,,,,126.0000,,,,,,,,,,,,,,,,1.8000,,,,,,,,,
166,5101A45,금강천-1,전라남도 강진군 병영면 삭양리 삭양교,영산강물환경연구소,2019,01,2회차,,126.00,51.00,24.00,34.00,41.00,2.00,2019.01.16,1.6400,0.5550,3.5000,7.4000,15.6000,0.8000,2.8000,1.2000,,1.3460,0.0260,,,,,,,,,,,,,,,,,,,,250.0000,,,,,,,,,,,,,,,,1.9000,,,,,,,,,
167,5101A45,금강천-1,전라남도 강진군 병영면 삭양리 삭양교,영산강물환경연구소,2019,01,3회차,,126.00,51.00,24.00,34.00,41.00,2.00,2019.01.23,1.6500,0.6670,4.4000,7.7000,13.9000,1.1000,3.0000,1.8000,,1.3470,0.0210,,,,,,,,,,,,,,,,,,,,209.0000,,,,,,,,,,,,,,,,2.1000,,,,,,,,,
168,5101A45,금강천-1,전라남도 강진군 병영면 삭양리 삭양교,영산강물환경연구소,2019,01,4회차,,126.00,51.00,24.00,34.00,41.00,2.00,2019.01.30,1.6300,0.5380,3.0000,7.6000,15.0000,1.0000,2.4000,1.4000,,1.3160,0.0260,,,,,,,,,,,,,,,,,,,,212.0000,,,,,,,,,,,,,,,,2.6000,,,,,,,,,
169,2011A49,백천-1,경상북도 김천시 남면 월평리 김천시-성주군경계,낙동강물환경연구소,2019,01,2회차,,128.00,14.00,22.00,36.00,2.00,58.00,2019.01.23,,0.0090,3.0000,7.8000,12.9000,0.5000,2.9000,0.8000,,1.4790,0.0140,,,,,,,,,,,,,,,,,,,,127.0000,,,,,,,,,,,,,,,,1.7000,,,,,,,,,
170,2012A15,자호천,경상북도 영천시 임고면 삼매리 삼매교,낙동강물환경연구소,2019,01,1회차,,129.00,0.00,45.00,36.00,3.00,23.00,2019.01.16,,3.4460,3.4000,7.7000,13.7000,0.8000,5.5000,0.3000,,1.3670,0.0150,,,,,,,,,,,,,,,,,,,,135.0000,,,,,,,,,,,,,,,,4.3000,,,,,,,,,
171,2012A15,자호천,경상북도 영천시 임고면 삼매리 삼매교,낙동강물환경연구소,2019,01,2회차,,129.00,0.00,45.00,36.00,3.00,23.00,2019.01.23,,3.4650,4.6000,8.0000,14.2000,0.7000,5.6000,2.4000,,1.4380,0.0150,,,,,,,,,,,,,,,,,,,,134.0000,,,,,,,,,,,,,,,,4.1000,,,,,,,,,
172,2018A36,신등천,경상남도 합천군 가회면 함방리 무명교,낙동강물환경연구소,2019,01,2회차,,128.00,1.00,44.00,35.00,25.00,10.00,2019.01.23,,0.0810,4.4000,7.5000,14.5000,0.8000,3.1000,1.6000,,1.6580,0.0330,,,,,,,,,,,,,,,,,,,,192.0000,,,,,,,,,,,,,,,,1.4000,,,,,,,,,
173,2018A60,덕천강3,경상남도 하동군 옥종면 두양리 두양교,낙동강물환경연구소,2019,01,1회차,,127.00,53.00,30.00,35.00,14.00,46.00,2019.01.16,,1.2840,3.9000,7.9000,14.2000,0.5000,1.8000,0.3000,,1.5530,0.0110,,,,,,,,,,,,,,,,,,,,81.0000,,,,,,,,,,,,,,,,0.7000,,,,,,,,,
174,2018A60,덕천강3,경상남도 하동군 옥종면 두양리 두양교,낙동강물환경연구소,2019,01,2회차,,127.00,53.00,30.00,35.00,14.00,46.00,2019.01.24,,1.3020,8.2000,8.3000,14.2000,0.5000,1.9000,3.4000,,1.5750,0.0140,,,,,,,,,,,,,,,,,,,,83.0000,,,,,,,,,,,,,,,,0.8000,,,,,,,,,
175,2019A15,영천강-1,경상남도 진주시 금곡면 동례리 엄정교,낙동강물환경연구소,2019,01,1회차,,128.00,11.00,4.00,35.00,6.00,53.00,2019.01.16,,0.2970,4.3000,8.0000,13.7000,0.5000,1.9000,0.4000,,2.2270,0.0370,,,,,,,,,,,,,,,,,,,,373.0000,,,,,,,,,,,,,,,,1.1000,,,,,,,,,
176,2019A15,영천강-1,경상남도 진주시 금곡면 동례리 엄정교,낙동강물환경연구소,2019,01,2회차,,128.00,11.00,4.00,35.00,6.00,53.00,2019.01.24,,0.2550,5.0000,7.9000,13.9000,0.5000,2.2000,1.2000,,2.4050,0.0600,,,,,,,,,,,,,,,,,,,,380.0000,,,,,,,,,,,,,,,,1.4000,,,,,,,,,
177,2020A23,광려천1-1,경상남도 함안군 칠원면 예곡리 내담교,낙동강물환경연구소,2019,01,1회차,,128.00,31.00,34.00,35.00,16.00,13.00,2019.01.17,,0.0280,3.4000,8.6000,15.3000,0.3000,2.5000,0.5000,,2.3830,0.0080,,,,,,,,,,,,,,,,,,,,358.0000,,,,,,,,,,,,,,,,1.0000,,,,,,,,,
178,2020A23,광려천1-1,경상남도 함안군 칠원면 예곡리 내담교,낙동강물환경연구소,2019,01,2회차,,128.00,31.00,34.00,35.00,16.00,13.00,2019.01.23,,0.0210,6.6000,8.6000,15.8000,0.7000,2.3000,1.8000,,2.3260,0.0150,,,,,,,,,,,,,,,,,,,,352.0000,,,,,,,,,,,,,,,,1.3000,,,,,,,,,
179,2020A39,성덕,경상남도 밀양시 무안면 성덕리 강동교,낙동강물환경연구소,2019,01,1회차,,128.00,39.00,1.00,35.00,26.00,33.00,2019.01.14,,0.2940,6.1000,7.3000,13.3000,0.7000,2.2000,8.0000,,2.9600,0.0150,,,,,,,,,,,,,,,,,,,,243.0000,,,,,,,,,,,,,,,,1.7000,,,,,,,,,
180,2020A39,성덕,경상남도 밀양시 무안면 성덕리 강동교,낙동강물환경연구소,2019,01,2회차,,128.00,39.00,1.00,35.00,26.00,33.00,2019.01.22,,0.2040,5.5000,7.5000,12.8000,0.7000,2.5000,3.2000,,2.6130,0.0160,,,,,,,,,,,,,,,,,,,,243.0000,,,,,,,,,,,,,,,,1.4000,,,,,,,,,
181,2020A48,주항천,경상남도 김해시 진영읍 좌곤리 좌곤교,낙동강물환경연구소,2019,01,1회차,,128.00,42.00,22.00,35.00,17.00,25.00,2019.01.14,,0.0410,6.1000,8.5000,13.4000,1.2000,3.7000,9.2000,,1.9270,0.0330,,,,,,,,,,,,,,,,,,,,250.0000,,,,,,,,,,,,,,,,3.0000,,,,,,,,,
182,2020A48,주항천,경상남도 김해시 진영읍 좌곤리 좌곤교,낙동강물환경연구소,2019,01,2회차,,128.00,42.00,22.00,35.00,17.00,25.00,2019.01.22,,0.0310,6.0000,8.1000,13.7000,0.6000,3.1000,9.6000,,1.4600,0.0330,,,,,,,,,,,,,,,,,,,,313.0000,,,,,,,,,,,,,,,,2.1000,,,,,,,,,
183,2021A05,소호천,울산광역시 울주군 상북면 소호리 무명교,낙동강물환경연구소,2019,01,1회차,,129.00,4.00,52.00,35.00,41.00,44.00,2019.01.16,,0.0600,2.4000,8.1000,12.3000,0.4000,1.9000,0.3000,,1.5590,0.0260,,,,,,,,,,,,,,,,,,,,94.0000,,,,,,,,,,,,,,,,0.7000,,,,,,,,,
184,2021A05,소호천,울산광역시 울주군 상북면 소호리 무명교,낙동강물환경연구소,2019,01,2회차,,129.00,4.00,52.00,35.00,41.00,44.00,2019.01.24,,0.0560,2.8000,7.4000,14.0000,0.3000,1.6000,0.3000,,1.5180,0.0150,,,,,,,,,,,,,,,,,,,,87.0000,,,,,,,,,,,,,,,,0.7000,,,,,,,,,
185,2021A12,동창천,경상북도 경주시 산내면 신원리 매곡교,낙동강물환경연구소,2019,01,1회차,,128.00,59.00,2.00,35.00,45.00,37.00,2019.01.16,,0.3900,6.5000,7.6000,11.4000,0.3000,1.5000,0.4000,144.0000,1.4290,0.0100,,,,,,,,,,,,,0.3000,,,,,,,111.0000,,,1.3220,0.0150,0.0000,0.0070,1.4200,0.0080,,,,,,,,0.4000,,,,,,,,,
186,2021A12,동창천,경상북도 경주시 산내면 신원리 매곡교,낙동강물환경연구소,2019,01,2회차,,128.00,59.00,2.00,35.00,45.00,37.00,2019.01.24,,0.3860,7.9000,7.2000,12.9000,0.3000,1.8000,0.8000,,1.4710,0.0100,,,,,,,,,,,,,,,,,,,,104.0000,,,,,,,,,,,,,,,,0.5000,,,,,,,,,
187,2021A14,부일천,경상북도 청도군 금천면 소천리 석현교,낙동강물환경연구소,2019,01,1회차,,128.00,54.00,28.00,35.00,44.00,53.00,2019.01.16,,0.0450,0.0000,7.5000,13.9000,0.6000,3.6000,1.6000,,2.2320,0.0270,,,,,,,,,,,,,,,,,,,,311.0000,,,,,,,,,,,,,,,,2.8000,,,,,,,,,
188,2021A14,부일천,경상북도 청도군 금천면 소천리 석현교,낙동강물환경연구소,2019,01,2회차,,128.00,54.00,28.00,35.00,44.00,53.00,2019.01.24,,0.0260,0.5000,8.0000,15.2000,0.4000,3.5000,0.8000,,1.9290,0.0200,,,,,,,,,,,,,,,,,,,,288.0000,,,,,,,,,,,,,,,,2.7000,,,,,,,,,
189,2021A16,동창천1,경상남도 청도군 매전면 구촌리 무명교,낙동강물환경연구소,2019,01,1회차,,128.00,48.00,53.00,35.00,35.00,39.00,2019.01.17,,0.8350,2.8000,7.7000,13.1000,0.3000,2.5000,0.8000,,1.4160,0.0060,,,,,,,,,,,,,,,,,,,,154.0000,,,,,,,,,,,,,,,,1.3000,,,,,,,,,
190,2021A16,동창천1,경상남도 청도군 매전면 구촌리 무명교,낙동강물환경연구소,2019,01,2회차,,128.00,48.00,53.00,35.00,35.00,39.00,2019.01.23,,0.9470,3.7000,7.4000,14.1000,0.6000,2.4000,0.4000,,1.4290,0.0070,,,,,,,,,,,,,,,,,,,,141.0000,,,,,,,,,,,,,,,,1.2000,,,,,,,,,
191,2021A18,고정천,경상남도 밀양시 상동면 고정리 무명교,낙동강물환경연구소,2019,01,1회차,,128.00,47.00,36.00,35.00,34.00,14.00,2019.01.17,,0.0150,2.0000,7.9000,12.9000,0.4000,2.7000,0.4000,,1.8640,0.0250,,,,,,,,,,,,,,,,,,,,110.0000,,,,,,,,,,,,,,,,1.4000,,,,,,,,,
192,2021A18,고정천,경상남도 밀양시 상동면 고정리 무명교,낙동강물환경연구소,2019,01,2회차,,128.00,47.00,36.00,35.00,34.00,14.00,2019.01.23,,0.0200,2.4000,7.6000,15.1000,0.3000,2.4000,0.3000,,1.8120,0.0130,,,,,,,,,,,,,,,,,,,,100.0000,,,,,,,,,,,,,,,,1.3000,,,,,,,,,
193,2021A27,단장천1,경상남도 양산시 원동면 선리 Paraiso앞:배내계곡,낙동강물환경연구소,2019,01,1회차,,129.00,0.00,32.00,35.00,31.00,31.00,2019.01.16,,0.1350,1.8000,8.2000,12.9000,0.3000,1.6000,0.4000,,0.8020,0.0050,,,,,,,,,,,,,,,,,,,,54.0000,,,,,,,,,,,,,,,,0.5000,,,,,,,,,
194,2021A27,단장천1,경상남도 양산시 원동면 선리 Paraiso앞:배내계곡,낙동강물환경연구소,2019,01,2회차,,129.00,0.00,32.00,35.00,31.00,31.00,2019.01.24,,0.0830,1.4000,7.1000,14.2000,0.3000,1.5000,0.3000,,0.7260,0.0030,,,,,,,,,,,,,,,,,,,,49.0000,,,,,,,,,,,,,,,,0.5000,,,,,,,,,
195,1006A63,삼산천,강원도 원주시 지정면 판대리,한강유역환경청,2019,03,4회차,,127.00,47.00,1.00,37.00,23.00,26.00,2019.03.27,1.6400,0.6840,8.4000,7.3000,11.5000,1.0000,1.9000,0.4000,,4.0300,0.0210,,,,,,,,,,,,,,,,,,,,160.0000,,,,,,,,,,,,,,,,1.6000,,,,,,,,,
196,1007A21,금당천-1,경기도 여주시 북내면 주암리(지산4교),한강유역환경청,2019,03,1회차,,127.00,41.00,24.00,37.00,24.00,33.00,2019.03.05,2.0500,0.0910,8.1000,7.1000,12.5000,0.7000,2.2000,1.2000,,3.4420,0.0160,,,,,,,,,,,,,,,,,,,,162.0000,,,,,,,,,,,,,,,,1.7000,,,,,,,,,
197,1007A21,금당천-1,경기도 여주시 북내면 주암리(지산4교),한강유역환경청,2019,03,2회차,,127.00,41.00,24.00,37.00,24.00,33.00,2019.03.11,2.0500,0.0780,7.2000,7.3000,12.5000,0.7000,1.8000,0.6000,,3.2490,0.0070,,,,,,,,,,,,,,,,,,,,146.0000,,,,,,,,,,,,,,,,1.4000,,,,,,,,,
198,1007A21,금당천-1,경기도 여주시 북내면 주암리(지산4교),한강유역환경청,2019,03,3회차,,127.00,41.00,24.00,37.00,24.00,33.00,2019.03.19,2.0500,0.0770,8.6000,7.3000,12.4000,1.2000,2.1000,0.6000,,3.0930,0.0140,,,,,,,,,,,,,,,,,,,,145.0000,,,,,,,,,,,,,,,,2.0000,,,,,,,,,
199,1007A21,금당천-1,경기도 여주시 북내면 주암리(지산4교),한강유역환경청,2019,03,4회차,,127.00,41.00,24.00,37.00,24.00,33.00,2019.03.27,2.0800,0.1630,9.5000,7.2000,12.6000,0.8000,1.7000,0.6000,,3.0310,0.0200,,,,,,,,,,,,,,,,,,,,138.0000,,,,,,,,,,,,,,,,1.4000,,,,,,,,,
200,1007A41,양화천-1,경기도 여주시 가남면 상활리(상활교),한강유역환경청,2019,03,1회차,,127.00,31.00,54.00,37.00,13.00,45.00,2019.03.05,1.2300,0.3320,13.1000,7.6000,10.7000,3.3000,6.6000,2.7000,,7.1750,0.0860,,,,,,,,,,,,,,,,,,,,453.0000,,,,,,,,,,,,,,,,4.0000,,,,,,,,,
201,1007A41,양화천-1,경기도 여주시 가남면 상활리(상활교),한강유역환경청,2019,03,2회차,,127.00,31.00,54.00,37.00,13.00,45.00,2019.03.11,1.2200,0.3470,10.1000,7.7000,11.6000,2.3000,6.0000,3.4000,,6.9410,0.0960,,,,,,,,,,,,,,,,,,,,443.0000,,,,,,,,,,,,,,,,3.7000,,,,,,,,,
202,1007A41,양화천-1,경기도 여주시 가남면 상활리(상활교),한강유역환경청,2019,03,3회차,,127.00,31.00,54.00,37.00,13.00,45.00,2019.03.19,1.2100,0.3630,14.5000,7.6000,12.5000,3.0000,6.0000,5.8000,,6.6800,0.1270,,,,,,,,,,,,,,,,,,,,437.0000,,,,,,,,,,,,,,,,4.6000,,,,,,,,,
203,1007A41,양화천-1,경기도 여주시 가남면 상활리(상활교),한강유역환경청,2019,03,4회차,,127.00,31.00,54.00,37.00,13.00,45.00,2019.03.27,1.2000,0.3770,15.8000,7.9000,10.8000,2.5000,6.4000,1.0000,,6.6260,0.1390,,,,,,,,,,,,,,,,,,,,508.0000,,,,,,,,,,,,,,,,4.2000,,,,,,,,,
204,1007A52,복하천2-1,경기도 여주시 흥천면 다대리(흥천대교),한강유역환경청,2019,03,1회차,,127.00,32.00,15.00,37.00,19.00,49.00,2019.03.05,-0.3200,2.0500,13.1000,7.3000,8.6000,4.8000,7.4000,5.0000,,10.4280,0.1330,,,,,,,,,,,,,,,,,,,,1182.0000,,,,,,,,,,,,,,,,4.4000,,,,,,,,,
205,1007A52,복하천2-1,경기도 여주시 흥천면 다대리(흥천대교),한강유역환경청,2019,03,2회차,,127.00,32.00,15.00,37.00,19.00,49.00,2019.03.11,-0.3400,1.8900,11.6000,7.4000,8.9000,4.3000,7.3000,4.6000,,11.4620,0.1590,,,,,,,,,,,,,,,,,,,,1223.0000,,,,,,,,,,,,,,,,4.2000,,,,,,,,,
206,1007A52,복하천2-1,경기도 여주시 흥천면 다대리(흥천대교),한강유역환경청,2019,03,3회차,,127.00,32.00,15.00,37.00,19.00,49.00,2019.03.19,-0.3500,1.8900,14.1000,7.1000,9.5000,3.9000,7.6000,4.6000,,11.5840,0.1860,,,,,,,,,,,,,,,,,,,,1241.0000,,,,,,,,,,,,,,,,4.4000,,,,,,,,,
207,1007A52,복하천2-1,경기도 여주시 흥천면 다대리(흥천대교),한강유역환경청,2019,03,4회차,,127.00,32.00,15.00,37.00,19.00,49.00,2019.03.27,-0.3600,1.7300,15.1000,7.2000,9.5000,4.6000,8.4000,8.5000,,10.9660,0.1510,,,,,,,,,,,,,,,,,,,,1248.0000,,,,,,,,,,,,,,,,4.1000,,,,,,,,,
208,1018A08,탄천1-1,경기도 성남시 분당구 구미동(오리교),한강유역환경청,2019,03,1회차,,127.00,6.00,53.00,37.00,20.00,8.00,2019.03.07,1.8300,2.0280,17.3000,7.8000,9.8000,7.3000,9.7000,7.0000,,7.3220,0.0570,,,,,,,,,,,,,,,,,,,,503.0000,,,,,,,,,,,,,,,,6.0000,,,,,,,,,
209,2012A27,청통천,경상북도 영천시 청통면 죽정리 송천교,낙동강물환경연구소,2019,01,1회차,,128.00,49.00,22.00,35.00,58.00,1.00,2019.01.16,,0.1130,2.0000,7.9000,13.7000,1.1000,3.6000,0.4000,,8.0470,0.0430,,,,,,,,,,,,,,,,,,,,463.0000,,,,,,,,,,,,,,,,2.8000,,,,,,,,,
210,2012A27,청통천,경상북도 영천시 청통면 죽정리 송천교,낙동강물환경연구소,2019,01,2회차,,128.00,49.00,22.00,35.00,58.00,1.00,2019.01.23,,0.0780,5.2000,7.8000,13.5000,1.7000,3.8000,4.4000,,7.6380,0.0450,,,,,,,,,,,,,,,,,,,,454.0000,,,,,,,,,,,,,,,,2.9000,,,,,,,,,
211,2012A29,부기천,경상북도 경산시 진량읍 부기리 부하교,낙동강물환경연구소,2019,01,1회차,,128.00,49.00,25.00,35.00,53.00,55.00,2019.01.18,,0.0220,2.1000,7.2000,13.5000,0.4000,6.4000,5.0000,,1.2010,0.0320,,,,,,,,,,,,,,,,,,,,402.0000,,,,,,,,,,,,,,,,5.0000,,,,,,,,,
212,2012A29,부기천,경상북도 경산시 진량읍 부기리 부하교,낙동강물환경연구소,2019,01,2회차,,128.00,49.00,25.00,35.00,53.00,55.00,2019.01.25,,0.0210,1.6000,7.8000,13.8000,0.8000,6.1000,7.2000,,1.1140,0.0280,,,,,,,,,,,,,,,,,,,,435.0000,,,,,,,,,,,,,,,,5.5000,,,,,,,,,
